LocID,Period,Year,Trajectory,Mig
246,2100,2100,103,-0.00376
246,2023,2023,123,0.00685
246,2024,2024,123,0.00458
246,2025,2025,123,0.00109
246,2026,2026,123,4e-05
246,2027,2027,123,0.00142
246,2028,2028,123,0.00135
246,2029,2029,123,0.00271
246,2030,2030,123,0.00278
246,2031,2031,123,7e-05
246,2032,2032,123,0.00253
246,2033,2033,123,0.00285
246,2034,2034,123,0.00075
246,2035,2035,123,0.00371
246,2036,2036,123,0.0051
246,2037,2037,123,0.00315
246,2038,2038,123,0.00367
246,2039,2039,123,0.00481
246,2040,2040,123,0.00645
246,2041,2041,123,0.00309
246,2042,2042,123,0.00234
246,2043,2043,123,0.00486
246,2044,2044,123,0.00364
246,2045,2045,123,0.00366
246,2046,2046,123,0.00198
246,2047,2047,123,0.00175
246,2048,2048,123,0.00207
246,2049,2049,123,-0.00285
246,2050,2050,123,-0.0032
246,2051,2051,123,-0.00342
246,2052,2052,123,-0.00285
246,2053,2053,123,-0.00277
246,2054,2054,123,0.00053
246,2055,2055,123,0.00119
246,2056,2056,123,0.00178
246,2057,2057,123,0.00475
246,2058,2058,123,0.00539
246,2059,2059,123,0.00421
246,2060,2060,123,-0.00057
246,2061,2061,123,0.00117
246,2062,2062,123,0.00189
246,2063,2063,123,0.00262
246,2064,2064,123,0.00237
246,2065,2065,123,0.00495
246,2066,2066,123,0.00197
246,2067,2067,123,0.00558
246,2068,2068,123,0.00504
246,2069,2069,123,0.00275
246,2070,2070,123,0.00662
246,2071,2071,123,0.00561
246,2072,2072,123,0.00399
246,2073,2073,123,0.00659
246,2074,2074,123,0.00446
246,2075,2075,123,0.0043
246,2076,2076,123,0.00354
246,2077,2077,123,0.00586
246,2078,2078,123,0.00678
246,2079,2079,123,0.00169
246,2080,2080,123,-0.00053
246,2081,2081,123,0.00248
246,2082,2082,123,-0.00151
246,2083,2083,123,-0.00128
246,2084,2084,123,-0.00202
246,2085,2085,123,0.00189
246,2086,2086,123,-0.00149
246,2087,2087,123,0.00204
246,2088,2088,123,0.00304
246,2089,2089,123,0.00401
246,2090,2090,123,0.00146
246,2091,2091,123,0.00271
246,2092,2092,123,0.0016
246,2093,2093,123,0.00047
246,2094,2094,123,0.00055
246,2095,2095,123,-0.00251
246,2096,2096,123,-0.00305
246,2097,2097,123,-0.00056
246,2098,2098,123,-0.00255
246,2099,2099,123,-0.00168
246,2100,2100,123,-0.0035
246,2023,2023,144,0.00685
246,2024,2024,144,0.00324
246,2025,2025,144,0.00029
246,2026,2026,144,-0.00151
246,2027,2027,144,0.00053
246,2028,2028,144,0.00038
246,2029,2029,144,0.00214
